Actual,MW-LTS-500,SVR,ANN,RNN,LSTM,GRU,SARIMA
50018.0,48841.68,47585.33339024237,47098.38,48319.83,47688.773,47287.53,49942.92413093745
49788.0,49256.95,48140.55783723278,47430.68,46955.945,47733.63,46909.465,49418.21709299529
50146.0,49344.99,48952.903931653535,48024.14,47872.14,47856.477,47569.3,49361.74587387763
49444.0,49158.11,49665.998760261595,48572.168,48627.633,48160.45,48365.594,48729.7870723028
49367.0,48837.9,49221.33700911722,48767.457,49572.2,48342.848,48628.24,47763.434534272485
49346.0,48549.62,49750.444496995035,48867.438,49172.793,49073.594,48207.938,48543.64497644008
49540.0,48858.15,50177.6608954179,49006.543,48426.46,49577.383,48208.66,48794.994881933526
49214.0,48186.64,48871.742199808024,48836.652,47760.08,49732.016,47677.51,48971.80780357698
48688.0,48471.8,48927.73882315558,49103.188,48325.71,50077.777,48160.68,49423.6290199658
48046.0,48367.4,49828.45343643564,49347.93,47520.375,50223.656,48150.33,48925.24540829811
47754.0,48721.11,49057.485841104695,49211.695,46625.453,50167.965,47911.91,48989.7887864481
47414.0,48339.35,49245.634261848805,49692.332,46883.66,50196.848,47659.117,48902.47081158846
46968.0,48372.07,49361.755258254794,49524.992,47003.254,50259.383,47775.945,49077.780590208764
46328.0,48060.43,49035.34578515612,48925.152,46242.062,50105.867,47790.496,48979.52529474296
46570.0,47716.06,48665.14671101152,48493.18,45957.57,49984.73,48242.41,50134.3222506652
46680.0,47979.46,48445.30945735221,48481.582,45879.617,49484.76,47886.793,50643.16006130294
47100.0,48089.32,48048.26236606459,48084.75,45390.496,49230.84,47600.785,49567.59547161686
46722.0,48304.36,47525.625330247814,47598.61,45023.207,49095.152,47486.188,49009.19130789288
46261.0,48490.56,47227.931260883735,47320.137,45475.56,49146.996,47952.766,48259.30604277567
47072.0,48387.09,46877.18698523026,47167.066,46339.707,49141.457,48325.426,47311.307784481265
47250.0,49148.29,47678.68167038671,47705.688,46356.53,49118.6,49087.81,47178.94884123422
46900.0,49058.69,47694.70339106643,47763.258,45896.812,49109.54,49100.555,47856.294156476986
46334.0,48602.12,48038.43023772665,47957.176,45944.508,49091.953,49090.152,48020.12793048144
46566.0,48434.86,49589.34656423113,48404.375,46070.35,48849.883,49146.73,47876.519268498785
46506.0,47884.02,49893.198962267736,48985.5,44811.33,48461.137,48585.24,47309.443726726415
46528.0,47760.93,49987.05424225238,49326.605,43888.402,48153.035,48258.543,47058.68115736838
46868.0,47111.14,49820.58319646895,49102.55,42657.02,47441.438,47549.57,47225.927761629035
47486.0,46439.64,49273.400260222974,48873.547,42672.84,46831.44,47390.98,46647.81160811964
47586.0,45969.06,48617.37180784843,48358.668,40990.42,46704.555,47222.457,46769.83888469132
47238.0,46646.89,48123.993137847196,48014.637,40079.418,46258.43,46601.66,47691.6058967997
47246.67,46064.89,48888.32842650135,48380.246,39865.164,45738.926,46859.062,48483.547885761356
47013.33,46537.31,49536.49319771146,49186.395,39108.453,45721.41,47684.25,48472.39490174015
46950.0,46649.5,48880.25380566993,48594.39,38991.223,45762.87,47190.703,48655.005378080234
47260.0,45762.88,48645.76542512916,48268.48,39588.562,45755.816,46558.836,48553.28727816436
47326.0,46306.7,49168.83826377283,48699.707,39849.758,46082.07,47687.16,48454.11585337096
