Date,Actual,SVR,ANN,RNN,LSTM,GRU
2019/3/11,49788.0,48135.16605870052,47782.94,47415.887,47566.527,48011.613
2019/3/18,50146.0,48948.20370396126,48499.883,47791.75,47537.137,47771.746
2019/3/25,49444.0,49661.20158666725,50326.61,47813.984,47759.332,48807.617
2019/4/1,49367.0,49215.011129594015,51275.125,48359.35,48249.26,49391.305
2019/4/8,49346.0,49746.14127795049,50996.105,48651.28,48350.48,49967.43
2019/4/15,49540.0,50173.953182839876,49762.156,49417.273,48662.46,50100.418
2019/4/22,49214.0,48864.641796927805,48044.0,49203.29,48810.01,49937.215
2019/4/29,48688.0,48923.14642737884,47938.51,49108.094,48888.355,49237.953
2019/5/6,48046.0,49825.430350518276,48313.684,49541.594,49295.215,49563.008
2019/5/13,47754.0,49054.53072646922,48479.684,49633.332,49579.324,49238.742
2019/5/20,47414.0,49241.90974118794,48034.926,49089.51,49652.355,49184.367
2019/5/27,46968.0,49359.71062483152,48051.574,49277.61,49767.75,49082.965
2019/6/3,46328.0,49033.087714654335,47482.098,50100.77,49884.605,48997.062
2019/6/10,46570.0,48663.01531090742,47255.17,50319.375,49720.64,48799.93
2019/6/17,46680.0,48444.30814809226,47345.766,50058.887,49753.414,49097.934
2019/6/24,47100.0,48046.32166865897,47118.855,48957.543,49620.414,48656.656
2019/7/1,46722.0,47524.18132467071,47506.496,48722.164,49351.98,48404.44
2019/7/8,46261.0,47226.12324470186,47234.277,49471.242,48986.527,48086.15
2019/7/15,47072.0,46874.9361755585,47075.816,49376.484,48747.53,48343.36
2019/7/22,47250.0,47677.142870041964,48483.086,49103.402,48496.887,48228.043
2019/7/29,46900.0,47693.599620710775,48431.086,49576.31,48690.875,48384.996
2019/8/5,46334.0,48038.95609294383,48573.62,49522.855,48637.586,48161.11
2019/8/12,46566.0,49592.400834374486,50503.23,49628.32,48345.6,48251.637
2019/8/19,46506.0,49894.04716086166,50274.66,50016.695,47733.367,47973.805
2019/8/26,46528.0,49987.766331610874,50078.16,48398.574,47101.676,46975.37
2019/9/2,46868.0,49821.28559520344,49729.406,47704.867,46817.023,46736.4
2019/9/9,47486.0,49273.58621947817,49268.668,47872.45,45765.93,46013.332
2019/9/16,47586.0,48616.74386346453,49613.312,46981.78,45185.965,45750.375
2019/9/23,47238.0,48122.68565342143,52727.58,46709.816,44768.26,45130.754
2019/9/30,47246.67,48886.84032135621,53504.34,46533.582,44153.637,44849.39
2019/10/7,47013.33,49535.78644097043,53507.895,45697.688,44305.41,44928.426
2019/10/14,46950.0,48878.793807417474,54567.82,45843.355,45213.336,45025.453
