Actual,Proposed LDSS,SARIMA,SVR,ANN,RNN,LSTM,GRU
49732.0,49222.64021396637,48476.69446367094,50424.43834310673,48760.883,49748.35,49584.5,49001.684
49520.0,48111.23442173004,49254.50945581676,50007.40818951823,48730.03,49561.562,50045.82,49972.895
49770.0,47481.5887594223,49505.3680843544,49810.88070431822,48879.926,49318.66,49681.34,49203.23
49344.0,46842.06493884325,49681.90258771996,49783.1734692666,48744.88,49648.652,49795.773,49901.656
48678.0,47088.916180431836,50133.41528471799,49848.06451863443,48555.72,49294.96,49327.47,48793.535
48254.0,46363.12909632921,49636.14000069605,49284.655042473205,47699.918,48816.883,48678.625,47962.434
47740.0,46023.32897335291,49701.00858817728,48992.380466667666,47899.83,48606.22,48090.457,47370.77
47486.0,45170.15983134508,49613.572449366235,48406.884109831066,47169.41,47914.375,47357.32,46429.605
47398.0,47404.660404920585,49788.10462630529,47959.49982075176,46796.598,47209.36,47201.168,46273.73
47456.0,47455.98452448845,49689.58531375774,47433.69842572013,46394.48,46832.14,46800.867,46046.605
47682.0,47680.90188741683,50843.54324373644,47081.579486223156,46413.996,47160.13,46881.758,46610.973
47970.0,46630.55000662804,51351.27825570056,47329.69302605484,46860.26,48038.02,47256.18,47307.445
48098.0,46479.129549860954,50276.86070349629,47549.63813657346,46978.457,48531.305,47717.3,47657.414
49184.0,49183.781914711,49718.9627351307,48044.56702634345,47321.21,48004.59,47328.246,47108.95
49950.0,49949.714661836624,48969.49656472984,48510.73892598251,48045.56,49624.867,48245.89,48739.47
50018.0,49716.16009235382,48023.27049823274,49155.890961079975,48953.9,50204.65,48847.836,49333.39
49788.0,49770.11372089387,47891.659960250436,48878.556375312604,48517.43,49657.055,48295.05,48599.402
50146.0,47849.47654247284,48567.06505316762,49059.14695721004,48459.406,50359.707,48266.86,49354.25
49444.0,48805.57087421417,48731.12925615713,49556.79658071038,48983.83,50693.383,48841.44,49272.203
49367.0,49074.657292366035,48586.770024002384,49709.339390923684,48065.72,50747.49,48826.508,49261.02
49346.0,49240.51113605499,48020.043856148215,49749.34448330369,48009.543,50590.31,49355.914,49493.7
49540.0,49486.22414112091,47769.5290267976,49955.72990707204,48413.78,50511.387,49361.766,49346.52
49214.0,49484.03288364409,47935.748188534446,49937.75014763096,48288.46,50290.04,49408.918,49531.965
48688.0,49507.01673984528,47357.83513004365,50234.15048312675,48194.156,50122.64,49215.605,49130.0
48046.0,49565.401577949524,47479.82358386383,49922.41792514278,47888.94,49628.07,49070.04,48646.562
47754.0,48681.54570102692,48401.34528843407,49511.26409309358,47482.03,49487.723,48650.902,47822.992
47414.0,47747.21786022186,49192.577767963776,49195.986092148596,47100.926,49563.613,48499.977,47825.656
46968.0,46947.41572886706,49181.68503041744,48797.166108843856,46673.1,48851.094,48121.016,47444.71
46328.0,46212.9762211442,49363.36475009665,48321.53464777952,46123.75,48278.645,47838.97,46975.266
46570.0,45900.913765728474,49261.31104567512,48239.580588901044,45775.637,48005.55,47720.312,46148.848
46680.0,45118.62875968218,49162.368826384416,47897.27878570857,45745.66,48444.957,47817.957,46222.07
47100.0,44849.82233554125,48540.694148558854,47782.693821120825,45630.367,48438.53,47802.69,46187.844
46722.0,44290.63929647207,48797.97185016724,47709.0973975487,45924.527,48700.766,47819.688,46491.01
46261.0,44586.798396408565,48482.93487184029,47610.4397483457,45677.598,47794.477,47122.67,45583.766
47072.0,44871.45795971155,49313.29994740916,47303.12280331782,45543.613,47914.28,46866.152,45385.25
47250.0,46092.962266504765,49422.26227982872,48223.77812387477,46332.957,49191.38,47707.3,46686.945
46900.0,45562.12405592203,49665.88125293861,48294.77213346257,46803.22,48717.77,47643.613,46430.508
46334.0,46022.95463353396,49564.24526891949,48089.53920163131,46919.1,47605.754,47206.227,45952.406
46566.0,46610.31206995249,49064.0035346567,47706.39415522649,46617.863,47195.848,46239.207,44730.79
46506.0,46722.69847035408,48703.881054197234,47298.56321205215,46171.63,47469.125,46491.81,44759.965
46528.0,46573.097213804715,48141.54568757046,47014.08060700566,45836.598,46978.527,46163.062,44280.902
46868.0,46590.56944876909,47924.22903691953,46312.36550892716,45643.676,47236.66,46177.02,44388.473
47486.0,47354.739298820496,47946.462330352224,46489.745461511324,46098.59,47826.438,46939.723,44992.52
47586.0,47657.15717792512,48091.7008371022,46737.002972212955,46897.523,47747.46,47438.16,45813.727
47238.0,49258.77161502838,48238.817960759574,46596.07859887417,47069.715,46994.195,46970.27,45443.91
47246.67,46926.44661217928,48424.95497236509,46473.40177664036,47124.21,47265.42,46810.11,45162.72
47013.33,46853.161223232746,48462.60726674638,46965.58009323922,47147.81,47385.164,47024.074,44942.465
46950.0,49637.71307468414,49229.41222107586,46873.358182059135,46731.27,47894.832,47669.43,45031.277
47260.0,49314.478249549866,50125.39327279593,46545.02903055995,46138.33,47903.94,48255.703,45672.637
47326.0,49474.78090763092,50089.27685563427,47022.51430077509,47201.656,48465.188,49106.605,46144.348
47272.0,49981.44833087921,49873.77900722616,47393.8785820704,47687.613,48946.625,49051.438,46200.316
47121.0,49679.10349369049,50063.70069625583,47648.59468799111,47536.883,48854.5,48629.188,46181.215
47094.0,46861.439307034016,49547.592719997854,47478.53833556464,46862.47,48791.816,47422.605,45757.926
47324.0,46832.173846066,48733.127745949714,47611.87505786204,46701.984,48784.344,47505.29,45174.734
47318.0,46482.449152767666,49304.0782674539,48156.23719046301,47115.848,49537.336,47881.098,45424.19
48676.0,49563.16162586212,49590.666817772726,47209.058113714585,45537.723,48773.68,47806.094,44990.52
48988.0,49882.20871448517,49598.78715159331,47441.93467630856,45797.633,49308.97,48616.305,46142.996
49188.0,50148.86040210724,49915.292075998026,47530.87370285572,45455.094,49453.234,49056.89,46406.65
49133.0,50100.165791511536,49546.49146246393,47883.06912291397,45998.31,49067.81,49062.367,46364.33
48790.0,50098.60756397247,49625.90679929372,48089.05119907415,46108.215,49142.48,48751.777,46155.887
48966.0,50598.311657905586,49394.92617138629,48472.45053369734,46155.48,49799.133,48374.44,46147.418
48292.0,51046.69163227081,49561.90514894558,48745.40711793674,46273.008,49980.17,48271.543,46579.82
46380.0,46381.65130883455,49556.91949376049,48694.38429177163,45804.812,49063.8,47782.6,45408.906
45406.0,45406.39564782381,50450.244747124176,47717.14641462691,43650.96,47284.84,46069.73,42800.367
45492.0,45495.26331216097,50794.965137982515,46908.109872035835,41962.54,47270.99,46059.06,42768.27
46002.0,48743.09568881989,49987.18557696075,46934.29706828785,42598.277,47586.098,46295.37,43005.17
45338.0,46564.39000874758,49508.45326678743,46212.13991295194,42835.1,47390.613,46259.902,43030.367
45010.0,46048.58017235994,49023.542928710885,45702.26675316044,42937.94,46307.605,45517.03,41959.61
43594.0,46054.603087008,48326.64752552919,45403.737083648564,42183.035,44680.945,45325.34,41920.215
40596.0,40596.26897126436,48239.041143303635,44737.8610651231,40614.082,42865.906,44191.707,40896.61
38284.0,38285.405357182026,48808.84276447235,42761.912181515945,39030.168,41006.406,41866.617,37857.84
39392.0,42455.5988740921,49155.79965292825,40625.668198664425,36872.79,40782.277,40252.785,35951.81
40843.0,42455.599634945385,49142.244186851334,39831.55746422327,36424.895,41632.9,40875.98,37485.543
42036.0,42455.599634945385,48687.01535018892,40025.2572820851,38128.824,42524.293,42421.77,38402.453
42024.0,42455.599634945385,48466.867347826104,40373.44067289454,38551.79,43770.715,42932.14,38665.633
