Actual,MW-GA-GRU,ARIMA,SVR,ANN,LSTM,GRU,RNN
49420.0,48901.99,47135.02860313264,50908.768932631756,50173.254,50270.477,49708.71,50090.613
49409.0,49772.86,47084.460280266234,50419.3305683592,49669.12,50098.797,49478.137,50092.152
49384.0,50558.305,47019.3252725332,50294.763916230084,49543.297,50869.938,49925.03,50775.133
49496.0,49756.02,46985.11140460675,50488.31016277606,49689.023,50732.883,49486.285,50711.75
49038.0,50069.246,46971.55264201997,50559.886893593,50011.105,50726.824,49762.086,50758.543
48428.0,50186.87,46914.37490754238,50102.23243650558,49386.516,50338.992,48974.953,50352.844
47784.0,48171.52,46935.86699150424,49974.70420455795,49019.996,49834.27,48380.41,49686.58
47832.0,49014.95,46861.23740594632,49505.511265511544,48229.18,49382.98,48048.78,49349.547
47178.0,49989.668,46974.2488344122,49241.484168016046,47843.17,49658.074,48226.105,49684.746
46598.0,48565.684,47206.3774506339,48778.367978178976,47336.367,49348.008,47897.91,49362.043
46446.0,47736.742,47154.461342742856,48245.4763065193,46967.9,48861.28,47006.945,48812.64
46464.0,48181.265999999996,47002.78543845493,47781.499478854654,46479.305,48300.13,46668.426,48096.027
46940.0,47914.77,47007.285971196834,47736.24563460885,46413.953,48563.473,46856.11,48061.2
47120.0,47792.977,46816.94386899315,47649.79253083914,46288.484,48671.953,47199.668,48015.695
46468.0,48781.23,46619.91874185687,47673.57856221373,46567.668,49176.527,47499.16,48408.27
46465.0,47296.02,46685.66124023966,47787.386331634865,46622.887,47975.824,46595.023,47347.152
47320.0,47442.01,46724.533634119354,47597.87917739029,46482.207,47778.895,46204.188,47276.984
47114.0,48566.715,46696.480754938704,47740.67367786946,46804.145,48736.41,47827.312,48407.83
46464.0,46786.223,46704.230581432945,48199.63748554561,47325.832,48076.04,47667.746,48085.29
46546.0,47252.363,46638.55069078715,48232.746862015156,47240.953,47606.016,46848.652,47678.22
46566.0,47348.405999999995,46621.94911631715,47971.04609079453,46821.504,47164.008,46228.055,47366.957
46370.0,46132.625,46538.17289365175,48023.53741866848,46893.23,47971.168,47215.445,48278.78
46648.0,46416.05,46529.640734958,48066.456925303086,46839.54,47337.164,46494.05,47634.91
47224.0,47869.887,46537.7006705151,48105.83879146545,46553.008,47805.875,46515.914,47783.05
47584.0,47491.883,46643.09013145222,48283.41632005293,46653.656,48645.85,47678.426,48369.582
47446.0,47890.297,46673.19746677577,48690.44018423315,47083.742,49114.1,48282.363,48348.633
47210.67,47845.105,46517.604855124446,48696.367313508505,47215.2,48718.766,47451.527,47407.812
47173.33,47704.055,46411.69375434154,48560.70659847083,47032.82,48716.02,47417.277,47132.402
47014.0,48045.44,46340.03559594402,48741.709192079215,47067.9,48800.543,47812.844,47176.234
46994.0,47785.98,46212.73441301388,48590.9056178303,46765.652,49069.863,47708.746,47743.05
47344.0,48415.125,46187.86547148979,48396.98899933578,46765.74,49089.28,48321.797,48044.3
47216.0,49214.18,46278.42168189421,48463.97030311058,47220.652,49545.035,48112.547,48737.336
47290.0,47822.085999999996,46327.4970088223,48612.92719096521,47497.28,49691.184,48532.137,49299.88
47055.0,48065.437999999995,46327.27960082156,48773.03462648666,47489.465,49528.77,48773.684,48998.844
47156.0,48560.155999999995,46237.46171431472,48996.378012173,47201.61,48638.13,47486.117,47826.92
47372.0,47228.36,46172.78796193814,49003.19987678277,47198.598,48627.88,47998.836,47784.383
47724.0,47885.492,46219.742674532674,48939.44738415086,47625.78,48801.824,47940.055,48076.586
48914.0,48112.67,46253.76927407767,48822.33278544817,47898.5,48727.406,47837.1,47918.965
48984.0,50049.184,46257.5337062916,49378.67603243513,48852.83,50043.074,48692.098,48951.535
49300.0,49206.23,46280.20214081964,49651.04180564448,49321.582,50424.96,48994.45,49103.543
48977.0,49607.09,46340.94346358596,49963.73108929515,49971.41,50498.293,48766.406,48811.164
48806.0,48596.66,46340.00449044567,50002.29823667123,49887.273,50237.477,48540.83,48083.113
48930.0,48875.477,46385.16058073561,49852.00771294791,49648.9,50069.312,48103.57,47978.305
47592.0,48913.95,46388.46635908797,50033.368828354236,49818.375,50182.797,48750.6,48546.97
45626.0,46432.363,46427.25308360888,49555.07743416412,49436.098,49027.35,47012.13,47898.69
45520.0,45787.812000000005,46323.52116478758,48597.46840925877,48036.9,47022.97,44729.957,46275.336
45698.0,47070.22,46294.301630015405,48081.817321704584,46987.504,47557.254,45636.094,47396.25
45870.0,46694.07,46233.76982415079,48042.71286230943,46809.965,47709.75,45518.535,48134.715
45132.0,45787.305,46304.04276162959,48120.19861200007,47023.08,47690.992,45342.67,48155.676
44510.0,45527.227,46318.79389896258,47921.08491300916,46063.793,46537.55,44012.64,46388.19
43126.0,45130.176,46322.01840630609,47838.53930075303,44968.77,46442.195,43338.31,46207.78
38476.0,45012.445,46213.869725579105,47234.96105839179,44100.625,45189.96,43296.375,44374.465
38970.0,43187.652,46124.151226161826,45649.80009250107,42247.58,42415.184,40449.19,41518.27
40007.0,42199.835999999996,46208.065688771276,44249.99556727062,40303.785,41528.61,40694.867,41134.95
41394.0,42216.676,46135.67008256935,44083.22558750536,40509.93,41782.938,41680.688,42821.95
42194.0,42548.355,46058.38501515104,44816.78175267616,40494.367,42020.664,42334.375,44866.094
42182.0,42296.58,46022.33229534548,45375.03782745748,40172.895,42141.13,42573.934,45824.477
42992.0,42328.937999999995,46015.27223405874,45962.761913446164,39523.402,41537.906,42347.27,45184.832
43528.0,42728.926,45962.25068670237,46314.11405232353,40825.484,41937.7,42952.332,45105.36
43444.0,43147.402,45999.70296954991,46650.75495456703,42625.258,41502.28,42376.105,44963.0
44080.0,43628.953,45924.252400692545,46861.28057664584,43368.86,41638.402,42594.0,44844.324
44470.0,42392.79,46086.65484989791,47172.99269536027,44525.215,42614.664,42655.95,45194.645
45458.0,45014.918,46376.179709805714,47412.78394976602,45891.297,42431.395,42647.457,44575.703
47060.0,44211.848,46322.134678011236,47726.27898616229,47127.836,44236.41,44079.25,44915.824
47520.0,46441.977,46149.07352988187,48564.42790821107,49462.2,45477.793,44822.34,45253.207
48600.0,44860.793,46167.64772417444,48964.95941224073,50154.92,45287.477,44689.473,44831.16
49480.0,46930.727,45939.27235340698,49457.56647010437,50581.91,46150.332,45814.996,45304.87
