Date,Actual,MW-LTS-500,SVR,ANN,RNN,LSTM,GRU,SARIMA
2019/3/4,50018.0,48841.68,47585.33339024237,47897.266,47624.402,48325.887,47590.363,49942.92413093745
2019/3/11,49788.0,49256.95,48140.55783723278,47983.62,47149.47,48046.07,47308.605,49418.21709299529
2019/3/18,50146.0,49344.99,48952.903931653535,48574.74,48374.11,48356.918,47986.03,49361.74587387763
2019/3/25,49444.0,49158.11,49665.998760261595,49069.105,49335.445,49039.105,48711.03,48729.7870723028
2019/4/1,49367.0,48837.9,49221.33700911722,48949.83,49512.945,49616.918,49337.215,47763.434534272485
2019/4/8,49346.0,48549.62,49750.444496995035,49297.773,50082.883,50053.195,49823.273,48543.64497644008
2019/4/15,49540.0,48858.15,50177.6608954179,49478.957,50432.934,50446.27,50503.094,48794.994881933526
2019/4/22,49214.0,48186.64,48871.742199808024,48867.504,49452.46,50282.375,50195.027,48971.80780357698
2019/4/29,48688.0,48471.8,48927.73882315558,48878.977,50245.062,50489.82,50710.715,49423.6290199658
2019/5/6,48046.0,48367.4,49828.45343643564,49128.676,50300.18,50412.746,50844.418,48925.24540829811
2019/5/13,47754.0,48721.11,49057.485841104695,48949.98,50208.723,50384.676,51077.48,48989.7887864481
2019/5/20,47414.0,48339.35,49245.634261848805,48909.66,49918.13,50196.215,50763.543,48902.47081158846
2019/5/27,46968.0,48372.07,49361.755258254794,48867.113,49893.145,50037.633,50320.48,49077.780590208764
2019/6/3,46328.0,48060.43,49035.34578515612,48593.18,49189.688,49589.473,50193.95,48979.52529474296
2019/6/10,46570.0,47716.06,48665.14671101152,48218.816,49280.066,49140.434,50405.73,50134.3222506652
2019/6/17,46680.0,47979.46,48445.30945735221,48077.28,48903.336,48705.355,49721.32,50643.16006130294
2019/6/24,47100.0,48089.32,48048.26236606459,47575.09,48289.145,48410.39,49167.207,49567.59547161686
2019/7/1,46722.0,48304.36,47525.625330247814,47038.54,47978.49,48023.293,48988.676,49009.19130789288
2019/7/8,46261.0,48490.56,47227.931260883735,46804.516,48286.504,47986.996,49255.305,48259.30604277567
2019/7/15,47072.0,48387.09,46877.18698523026,46847.3,48779.785,47957.266,49588.414,47311.307784481265
2019/7/22,47250.0,49148.29,47678.68167038671,46908.76,49210.027,48172.93,50529.906,47178.94884123422
2019/7/29,46900.0,49058.69,47694.70339106643,47046.527,49131.0,48056.48,50648.277,47856.294156476986
2019/8/5,46334.0,48602.12,48038.43023772665,47344.73,49389.746,47907.75,50529.902,48020.12793048144
2019/8/12,46566.0,48434.86,49589.34656423113,47584.656,49503.727,47634.02,50233.12,47876.519268498785
2019/8/19,46506.0,47884.02,49893.198962267736,47811.3,48641.348,47220.023,49083.414,47309.443726726415
2019/8/26,46528.0,47760.93,49987.05424225238,48120.996,47846.008,46928.68,48224.707,47058.68115736838
2019/9/2,46868.0,47111.14,49820.58319646895,48551.734,46540.547,45973.383,47229.145,47225.927761629035
2019/9/9,47486.0,46439.64,49273.400260222974,48626.82,47053.18,45667.98,46943.477,46647.81160811964
2019/9/16,47586.0,45969.06,48617.37180784843,48424.098,47342.47,45367.56,46511.223,46769.83888469132
2019/9/23,47238.0,46646.89,48123.993137847196,48238.53,46922.64,44701.53,45868.832,47691.6058967997
2019/9/30,47246.67,46064.89,48888.32842650135,48611.004,47454.316,44627.87,45698.96,48483.547885761356
2019/10/7,47013.33,46537.31,49536.49319771146,48992.824,47966.66,45056.984,46135.695,48472.39490174015
2019/10/14,46950.0,46649.5,48880.25380566993,49353.473,47472.47,45158.28,46010.88,48655.005378080234
2019/10/21,47260.0,45762.88,48645.76542512916,49567.215,46828.695,44909.11,45661.676,48553.28727816436
2019/10/28,47326.0,46306.7,49168.83826377283,49524.855,47213.95,45813.348,46431.152,48454.11585337096
2019/11/4,47272.0,45772.26,48883.8321195927,49104.04,48435.625,46062.793,47148.984,47831.900827672034
2019/11/11,47121.0,45331.29,47777.61377156632,48967.906,48494.81,46393.383,47714.66,48089.07399584617
2019/11/18,47094.0,46443.86,48372.296949407275,48281.633,48545.094,46469.055,48079.754,47773.24565440926
2019/11/25,47324.0,47229.21,48911.6384157009,48394.52,48881.73,46750.703,48562.37,48602.433332224355
2019/12/2,47318.0,47621.89,48733.860255716456,48194.01,49405.273,47803.29,49777.934,48710.595271487095
2019/12/9,48676.0,47322.71,47928.56425281883,48365.72,47965.58,47703.125,48806.637,48955.175298259994
2019/12/16,48988.0,47356.99,47553.31324695166,48360.367,47280.22,47721.53,48786.5,48848.79488186337
2019/12/23,49188.0,48411.91,47383.992469353376,48069.297,46631.39,47721.395,48845.746,48347.97360796879
2019/12/30,49133.0,46621.5,45036.03314661096,47744.24,46285.566,47774.254,49441.824,47988.278494388745
2020/1/6,48790.0,47500.34,45387.402985675755,47982.832,46934.062,48036.617,50046.29,47426.56424690587
2020/1/13,48966.0,47025.09,44447.868141824416,48094.184,47354.312,48042.484,50700.7,47208.77515632835
2020/1/20,48292.0,47785.5,45350.917065097616,48224.23,47775.465,47926.875,51077.258,47230.342217667196
2020/1/27,46380.0,47827.55,45978.99136531593,48334.46,48455.75,48579.844,51739.387,47375.222730494264
2020/2/3,45406.0,48182.83,46125.735480730276,48355.86,48684.74,48928.57,52063.254,47522.73651338702
2020/2/10,45492.0,48606.67,46544.32231890025,48460.02,48662.434,49243.867,52140.56,47709.70048337923
2020/2/17,46002.0,49055.44,46168.23651796383,47955.2,48183.375,49211.332,52346.305,47747.44612406109
2020/2/24,45338.0,47316.43,44294.43208358113,47368.844,46357.37,48656.914,51212.133,48515.94982991484
2020/3/2,45010.0,46691.59,43317.4743934152,47180.26,45878.543,48218.117,50653.06,49411.4648316418
2020/3/9,43594.0,47405.25,44640.37187007585,47055.742,45634.188,48064.215,50447.324,49318.43608038198
2020/3/16,40596.0,46783.52,44066.48183346453,46512.99,45177.207,47771.31,50256.504,48877.87815809766
2020/3/23,38284.0,45525.22,43332.812804078356,46192.613,44442.223,47457.215,49618.188,48752.669888723955
2020/3/30,39392.0,44908.16,42769.988459057364,46222.547,43733.51,46838.86,47974.6,48288.742860620194
2020/4/6,40843.0,43899.98,41930.09077525278,45931.805,41596.004,46392.727,46848.633,47473.82700975804
2020/4/13,42036.0,43610.16,41023.73985576166,45300.516,41504.258,45996.023,46225.31,48048.57605188507
2020/4/20,42024.0,42182.07,39471.914759412655,42970.94,41094.742,44513.625,46010.355,48335.40136534283
2020/4/27,42911.0,43844.31,38685.711928001176,43739.867,39759.008,43778.7,45156.887,48344.610818525536
2020/5/4,43131.0,44088.95,40277.51180949756,43294.836,38335.008,43287.605,44551.742,48662.14167507618
2020/5/11,43538.0,44478.7,39256.046014304826,44010.48,38020.74,43474.504,44907.19,48291.543171061334
2020/5/18,43992.0,44689.04,36837.407040683254,44010.395,38806.96,43330.71,45238.555,48370.53152994668
2020/5/25,44104.0,45065.93,37038.03771917361,44774.973,39098.387,43546.96,45248.805,48140.385596946064
2020/6/1,44970.0,45330.83,37975.94100151893,45267.082,38045.83,43013.93,44031.832,48308.10583416652
2020/6/8,46702.0,45254.48,38199.55754700348,45618.625,37272.727,42861.48,43658.465,48302.90839591494
2020/6/15,47128.0,45948.67,38956.42994718514,45692.324,38890.957,42543.08,43677.832,49198.446012334956
2020/6/22,48230.0,45968.54,38404.68587244983,45838.734,39486.277,42243.625,43642.7,49545.3250794541
2020/6/29,49264.0,46544.7,39434.36381067179,46048.035,41457.7,42601.562,44387.355,48735.00604009182
2020/7/6,50040.0,47415.36,41178.556875066875,46935.906,43328.64,43195.594,44863.414,48255.294569928854
2020/7/13,52242.0,48774.98,41513.84985654185,46937.395,42659.703,43291.39,44522.082,47768.70688547168
2020/7/20,51994.0,49294.65,43894.25008113166,47942.64,43156.03,43560.695,44395.234,47068.722945896436
2020/7/27,51914.0,49724.72,45253.999313596,48392.02,44256.754,43801.934,44861.383,46980.08714131587
