Actual,Proposed LDSS,SARIMA,SVR,ANN,RNN,LSTM,GRU
53422.0,51330.33013,53745.36250166011,52564.87632721343,49777.242,52850.555,52654.176,51354.73
52008.0,50795.22505,53588.70372553458,53032.65952587029,49602.414,52352.15,52997.72,51553.24
51346.0,50442.91955,54303.57191681101,52828.19962762408,49451.742,52566.496,53060.35,51807.098
50340.0,51004.89187,54474.99779334599,53099.48603518266,49952.71,53463.71,53184.055,52490.363
48930.0,50849.53172,54475.827337060226,53163.50787478652,50833.812,53321.504,52690.57,51727.355
48664.0,50009.78099,54741.61685729611,52510.85442735007,51071.996,52450.086,52590.69,51017.363
49570.0,50569.963789999994,55978.04503510961,52403.35306175286,51451.418,52970.12,53454.504,52038.77
49614.0,49829.6231,56753.17105594006,52143.30175196447,51728.12,53104.51,54396.89,52389.934
49510.0,48906.239369999996,56787.733214389766,51964.28826438971,51394.52,52559.86,55098.25,52572.723
48824.0,49113.67841,56718.72821407694,52758.36613726611,51743.887,52827.926,55651.914,53109.062
48562.0,49498.73105,57618.90337026012,53330.24433283571,50703.777,53986.46,56121.89,53600.094
48792.0,49237.66098,58520.68459842643,53199.23561486519,50143.812,53500.63,56438.133,53512.47
48081.0,49162.31216,58946.19888869187,52971.27826214599,50292.49,53704.055,56381.395,53264.977
48228.0,49024.04381,57375.595896807536,53195.1118416197,51565.293,52507.766,55779.305,52574.883
49424.0,49112.05323,57076.795450303776,53488.16556218434,52108.83,53127.773,55390.6,52899.414
50431.0,48968.10588,57346.108862637855,53344.02049823627,52140.52,53465.457,55011.41,52694.215
50300.0,48279.90494,58138.29110822499,52541.46528509852,51364.035,52137.93,54912.168,51663.71
50520.0,48907.030660000004,58828.54030646079,53026.5211013863,50611.184,52300.445,55261.414,51844.54
50406.0,49862.650219999996,60484.70752600621,54017.1450519059,50245.742,52689.656,55070.508,52052.03
50132.0,49770.55654,60873.43683816276,52935.6262603713,50039.324,53650.86,54503.105,52177.023
49364.0,49529.10431,59875.17946297586,52327.904004253585,50713.766,53242.68,54806.91,52592.75
49670.0,49913.68826,59666.385049335855,52847.59172929363,52107.137,53430.004,55341.93,52593.176
49166.0,50050.8062,59041.83856898625,53323.43058717679,53575.703,53541.562,55763.06,52539.336
49732.0,49341.051810000004,59152.94266787498,53236.52284828079,53441.555,53177.613,55580.363,51907.195
